Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2022-08-26,2022,8,26,Friday,34,2022-34,114.8,115.58,110.25,110.33,31698700,-0.05437562984936195,117.4542857142857,114.02240000000002
2022-08-29,2022,8,29,Monday,35,2022-35,109.81,110.98,108.85,109.38,20386100,-0.008625308557967948,116.94785714285715,114.09599999999999
2022-08-30,2022,8,30,Tuesday,35,2022-35,110.06,110.4,107.85,108.95,20548200,-0.0038969490070756008,116.18714285714286,114.1366
2022-08-31,2022,8,31,Wednesday,35,2022-35,110.65,110.79,108.1,108.2,25898000,-0.006914809435708991,115.43214285714285,114.07979999999999
2022-09-01,2022,9,1,Thursday,35,2022-35,108.25,110.25,107.24,109.58,22784400,0.012826380894794154,114.575,114.05040000000001
2022-09-02,2022,9,2,Friday,35,2022-35,110.37,110.7,107.18,107.73,20618100,-0.016915317656606033,113.56928571428571,113.97099999999999
2022-09-06,2022,9,6,Tuesday,36,2022-36,107.19,107.93,105.58,106.54,20565100,-0.011041675769919213,112.50500000000001,113.75179999999999
2022-09-07,2022,9,7,Wednesday,36,2022-36,106.82,110.02,106.67,109.51,22987200,0.027912138338234582,111.80785714285715,113.63
2022-09-08,2022,9,8,Thursday,36,2022-36,108.23,109.61,107.12,108.46,21660700,-0.009594561955297398,110.99785714285714,113.56739999999999
2022-09-09,2022,9,9,Friday,36,2022-36,109.09,111.02,109.04,110.8,21732900,0.0215683069188215,110.54857142857144,113.5578
2022-09-12,2022,9,12,Monday,37,2022-37,111.01,111.66,109.96,110.89,19732900,0.0008052643563418727,110.32214285714285,113.6072
2022-09-13,2022,9,13,Tuesday,37,2022-37,107.94,108.41,104.08,104.39,33015000,-0.05863971594941708,109.65214285714286,113.5324
2022-09-14,2022,9,14,Wednesday,37,2022-37,104.52,105.17,103.59,104.94,22115800,0.005317793350730238,109.02642857142858,113.3734
2022-09-15,2022,9,15,Thursday,37,2022-37,104.09,105.28,102.41,102.99,26494900,-0.018607642310798256,108.04928571428572,113.149
2022-09-16,2022,9,16,Friday,37,2022-37,102.07,103.12,100.96,102.72,64540100,-0.0025987154059576856,107.50571428571429,112.83820000000001
2022-09-19,2022,9,19,Monday,38,2022-38,101.64,103.11,101.48,102.94,19738600,0.002122876074853064,107.04571428571428,112.51459999999999
2022-09-20,2022,9,20,Tuesday,38,2022-38,101.98,102.27,100.24,100.94,24001700,-0.019451022407103502,106.47357142857142,112.2234
2022-09-21,2022,9,21,Wednesday,38,2022-38,101.35,102.59,99.12,99.14,26596800,-0.017872985682836573,105.82642857142858,111.9292
2022-09-22,2022,9,22,Thursday,38,2022-38,98.58,100.79,98.54,99.69,21272700,0.005599453345469296,105.11999999999999,111.6988
2022-09-23,2022,9,23,Friday,38,2022-38,99.19,99.24,97.15,98.3,25657000,-0.013920799932285899,104.44642857142857,111.4554
2022-09-26,2022,9,26,Monday,39,2022-39,97.75,99.56,97.52,97.95,22437900,-0.0036300116874082855,103.83285714285714,111.17880000000001
